resultId,raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
55,1071,852,213,22,12,15,15,0,24,+46.150,0 days 00:29:55.709000,11,00:01:13.747000,1
56,1071,849,3,6,16,16,16,0,24,+46.760,0 days 00:29:56.319000,7,00:01:13.934000,1
57,1071,847,3,63,17,17,17,0,24,+47.739,0 days 00:29:57.298000,14,00:01:14.056000,1
58,1071,8,51,7,13,18,18,0,24,+50.014,0 days 00:29:59.573000,9,00:01:13.900000,1
59,1071,854,210,47,18,19,19,0,24,+1:01.680,0 days 00:30:11.239000,9,00:01:14.387000,1
60,1071,853,210,9,19,20,20,0,24,+1:07.474,0 days 00:30:17.033000,6,00:01:14.583000,1
61,1077,830,9,1,1,1,1,8,21,30:39.567,0 days 00:30:39.567000,14,00:01:19.154000,1
62,1077,844,6,16,2,2,2,7,21,+2.975,0 days 00:30:42.542000,11,00:01:19.044000,1
63,1077,815,9,11,7,3,3,6,21,+4.721,0 days 00:30:44.288000,14,00:01:19.012000,1
64,1077,832,6,55,10,4,4,5,21,+17.578,0 days 00:30:57.145000,14,00:01:19.251000,1
65,1077,846,1,4,3,5,5,4,21,+24.561,0 days 00:31:04.128000,9,00:01:20.030000,1
66,1077,817,1,3,6,6,6,3,21,+27.740,0 days 00:31:07.307000,12,00:01:20.328000,1
67,1077,822,51,77,8,7,7,2,21,+28.133,0 days 00:31:07.700000,9,00:01:20.219000,1
68,1077,825,210,20,4,8,8,1,21,+30.712,0 days 00:31:10.279000,6,00:01:20.557000,1
69,1077,4,214,14,5,9,9,0,21,+32.278,0 days 00:31:11.845000,10,00:01:20.639000,1
70,1077,854,210,47,12,10,10,0,21,+33.773,0 days 00:31:13.340000,15,00:01:20.567000,1
71,1077,847,131,63,11,11,11,0,21,+36.284,0 days 00:31:15.851000,19,00:01:20.756000,1
72,1077,852,213,22,16,12,12,0,21,+38.298,0 days 00:31:17.865000,20,00:01:20.909000,1
73,1077,20,117,5,9,13,13,0,21,+40.177,0 days 00:31:19.744000,8,00:01:21.044000,1
74,1077,1,131,44,13,14,14,0,21,+41.459,0 days 00:31:21.026000,9,00:01:20.663000,1
75,1077,840,117,18,15,15,15,0,21,+42.910,0 days 00:31:22.477000,14,00:01:20.948000,1
76,1077,839,214,31,19,16,16,0,21,+43.517,0 days 00:31:23.084000,14,00:01:20.995000,1
77,1077,842,213,10,17,17,17,0,21,+43.794,0 days 00:31:23.361000,18,00:01:20.599000,1
78,1077,848,3,23,20,18,18,0,21,+48.871,0 days 00:31:28.438000,14,00:01:21.020000,1
79,1077,849,3,6,18,19,19,0,21,+52.017,0 days 00:31:31.584000,16,00:01:21.437000,1
80,1077,855,51,24,0,\N,20,0,0,\N,,0,,31
81,1084,830,9,1,1,1,1,8,23,26:30.059,0 days 00:26:30.059000,5,00:01:08.455000,1
82,1084,844,6,16,2,2,2,7,23,+1.675,0 days 00:26:31.734000,4,00:01:08.321000,1
83,1084,832,6,55,3,3,3,6,23,+5.644,0 days 00:26:35.703000,4,00:01:08.409000,1
84,1084,847,131,63,4,4,4,5,23,+13.429,0 days 00:26:43.488000,4,00:01:08.979000,1
85,1084,815,9,11,13,5,5,4,23,+18.302,0 days 00:26:48.361000,14,00:01:09.137000,1
86,1084,839,214,31,5,6,6,3,23,+31.032,0 days 00:27:01.091000,4,00:01:09.384000,1
87,1084,825,210,20,6,7,7,2,23,+34.539,0 days 00:27:04.598000,4,00:01:09.232000,1
88,1084,1,131,44,9,8,8,1,23,+35.447,0 days 00:27:05.506000,7,00:01:09.516000,1
89,1084,854,210,47,7,9,9,0,23,+37.163,0 days 00:27:07.222000,4,00:01:09.457000,1
90,1084,822,51,77,12,10,10,0,23,+37.557,0 days 00:27:07.616000,4,00:01:09.674000,1
91,1084,846,1,4,15,11,11,0,23,+38.580,0 days 00:27:08.639000,8,00:01:09.909000,1
92,1084,817,1,3,16,12,12,0,23,+39.738,0 days 00:27:09.797000,8,00:01:09.996000,1
93,1084,840,117,18,17,13,13,0,23,+48.241,0 days 00:27:18.300000,4,00:01:10.295000,1
94,1084,855,51,24,18,14,14,0,23,+50.753,0 days 00:27:20.812000,11,00:01:10.165000,1
95,1084,842,213,10,10,15,15,0,23,+52.125,0 days 00:27:22.184000,4,00:01:10.409000,1
96,1084,848,3,23,11,16,16,0,23,+52.412,0 days 00:27:22.471000,5,00:01:10.367000,1
97,1084,852,213,22,14,17,17,0,23,+54.556,0 days 00:27:24.615000,4,00:01:10.267000,1
98,1084,849,3,6,19,18,18,0,23,+1:08.694,0 days 00:27:38.753000,4,00:01:10.284000,1
99,1084,20,117,5,20,19,19,0,21,\N,,4,00:01:10.317000,130
100,1084,4,214,14,8,\N,20,0,0,\N,,0,,10
101,1095,847,131,63,3,1,1,8,24,30:11.307,0 days 00:30:11.307000,4,00:01:14.233000,1
102,1095,832,6,55,5,2,2,7,24,+3.995,0 days 00:30:15.302000,2,00:01:14.522000,1
103,1095,1,131,44,8,3,3,6,24,+4.492,0 days 00:30:15.799000,3,00:01:14.317000,1
104,1095,830,9,1,2,4,4,5,24,+10.494,0 days 00:30:21.801000,5,00:01:14.507000,1
105,1095,815,9,11,9,5,5,4,24,+11.855,0 days 00:30:23.162000,5,00:01:14.699000,1
106,1095,844,6,16,10,6,6,3,24,+13.133,0 days 00:30:24.440000,4,00:01:15.236000,1
107,1095,846,1,4,4,7,7,2,24,+25.624,0 days 00:30:36.931000,4,00:01:15.380000,1
108,1095,825,210,20,1,8,8,1,24,+28.768,0 days 00:30:40.075000,2,00:01:15.110000,1
109,1095,20,117,5,13,9,9,0,24,+30.218,0 days 00:30:41.525000,4,00:01:15.451000,1
